modele,auc,precision,rappel,f1,accuracy
IF Hybride,0.9595669384807815,85.89142091152814,94.08957415565345,0.8980378416257884,92.90460225540994
Autoencoder,0.9191608814700424,79.4164406621154,77.93685756240822,0.7866969289916161,85.96464492532765
