motor_id,rul_days,current_di,trend_slope,risk_level,last_timestamp
1,>90,0.0167,,FAIBLE,2025-06-30 18:00:00
2,>90,0.1078,,FAIBLE,2025-06-30 18:00:00
3,>90,0.0682,,FAIBLE,2025-06-30 18:00:00
4,>90,0.0744,,FAIBLE,2025-06-30 18:00:00
5,>90,1.0,,CRITIQUE,2025-06-30 18:00:00
6,>90,0.133,,FAIBLE,2025-06-30 18:00:00
7,>90,0.016,,FAIBLE,2025-06-30 18:00:00
8,>90,0.1435,,FAIBLE,2025-06-30 18:00:00
9,>90,0.0475,,FAIBLE,2025-06-30 18:00:00
10,>90,0.0161,,FAIBLE,2025-06-30 18:00:00
11,>90,0.0315,,FAIBLE,2025-06-30 18:00:00
12,>90,0.0605,,FAIBLE,2025-06-30 18:00:00
13,>90,0.0381,,FAIBLE,2025-06-30 18:00:00
14,>90,0.0337,,FAIBLE,2025-06-30 18:00:00
15,>90,0.01,,FAIBLE,2025-06-30 18:00:00
16,>90,0.574,,ÉLEVÉ,2025-06-30 18:00:00
17,>90,0.0849,,FAIBLE,2025-06-30 18:00:00
18,>90,0.9719,,CRITIQUE,2025-06-30 18:00:00
19,>90,0.0331,,FAIBLE,2025-06-30 18:00:00
20,>90,0.09,,FAIBLE,2025-06-30 18:00:00
21,>90,0.5623,,ÉLEVÉ,2025-06-30 18:00:00
